instancia,alpha,tempMin,tempInicial,semilla,fo_inicial,fo_final,fines_semana_libres,iteraciones_sa
N30-9.txt,0.74,0.05,100000,2116,746,48,7,490000
N20-3.txt,0.74,0.05,100000,2116,489,20,5,490000
N50-4.txt,0.74,0.05,100000,2116,1311,43,13,490000
N10-8.txt,0.46,0.05,100000,2117,71,13,9,190000
N50-5.txt,0.46,0.05,100000,2117,1312,60,10,190000
N40-5.txt,0.46,0.05,100000,2117,149,22,31,190000
N20-2.txt,0.46,0.05,100000,2117,492,28,4,190000
N30-2.txt,0.46,0.05,100000,2117,771,25,7,190000
N40-8.txt,0.46,0.05,100000,2117,1021,77,7,190000
N50-9.txt,0.46,0.05,100000,2117,1290,57,11,190000
N40-7.txt,0.46,0.05,100000,2117,194,80,32,190000
N50-8.txt,0.46,0.05,100000,2117,1288,56,11,190000
N20-10.txt,0.46,0.05,100000,2117,469,30,5,190000
N20-1.txt,0.46,0.05,100000,2117,366,28,6,190000
N30-10.txt,0.46,0.05,100000,2117,378,53,15,190000
N30-8.txt,0.46,0.05,100000,2117,745,37,8,190000
N20-9.txt,0.46,0.05,100000,2117,139,25,12,190000
N10-10.txt,0.46,0.05,100000,2117,204,10,2,190000
N50-6.txt,0.46,0.05,100000,2117,299,90,34,190000
N40-6.txt,0.46,0.05,100000,2117,294,68,22,190000
N10-9.txt,0.46,0.05,100000,2117,200,10,3,190000
N50-7.txt,0.46,0.05,100000,2117,1287,61,12,190000
NPlus-1.txt,0.46,0.05,100000,2117,878,58,25,190000
N10-7.txt,0.46,0.05,100000,2117,158,15,6,190000
N40-4.txt,0.46,0.05,100000,2117,444,47,20,190000
NPlus-3.txt,0.46,0.05,100000,2117,1158,72,20,190000
NPlus-2.txt,0.46,0.05,100000,2117,1325,63,11,190000
N30-1.txt,0.46,0.05,100000,2117,205,26,20,190000
N10-6.txt,0.46,0.05,100000,2117,198,11,3,190000
N30-9.txt,0.46,0.05,100000,2117,746,46,6,190000
N20-3.txt,0.46,0.05,100000,2117,489,21,6,190000
N50-4.txt,0.46,0.05,100000,2117,1311,50,12,190000
N10-8.txt,0.59,0.05,100000,2118,71,14,9,280000
N50-5.txt,0.59,0.05,100000,2118,1312,61,14,280000
N40-5.txt,0.59,0.05,100000,2118,149,29,32,280000
N20-2.txt,0.59,0.05,100000,2118,492,28,4,280000
N30-2.txt,0.59,0.05,100000,2118,771,29,7,280000
N40-8.txt,0.59,0.05,100000,2118,1021,67,6,280000
N50-9.txt,0.59,0.05,100000,2118,1290,49,13,280000
N40-7.txt,0.59,0.05,100000,2118,194,65,33,280000
N50-8.txt,0.59,0.05,100000,2118,1288,56,14,280000
N20-10.txt,0.59,0.05,100000,2118,469,17,3,280000
N20-1.txt,0.59,0.05,100000,2118,366,22,8,280000
N30-10.txt,0.59,0.05,100000,2118,378,48,15,280000
N30-8.txt,0.59,0.05,100000,2118,745,32,8,280000
N20-9.txt,0.59,0.05,100000,2118,139,17,11,280000
N10-10.txt,0.59,0.05,100000,2118,204,11,2,280000
N50-6.txt,0.59,0.05,100000,2118,299,79,34,280000
N40-6.txt,0.59,0.05,100000,2118,294,60,25,280000
N10-9.txt,0.59,0.05,100000,2118,200,11,3,280000
N50-7.txt,0.59,0.05,100000,2118,1287,58,12,280000
NPlus-1.txt,0.59,0.05,100000,2118,878,50,25,280000
N10-7.txt,0.59,0.05,100000,2118,158,14,6,280000
N40-4.txt,0.59,0.05,100000,2118,444,34,20,280000
NPlus-3.txt,0.59,0.05,100000,2118,1158,63,20,280000
NPlus-2.txt,0.59,0.05,100000,2118,1325,55,8,280000
